timestamp,pool_hashrate,network_hashrate,network_height,pool_blocks_found,last_block_found,last_template_fetched,round_hashrate,round_hashes,payment_threshold,pool_fee,pool_port,pool_ssl_port,allow_self_select,connected_miners
2025-05-18 08:33:31,39763977,5025151012,3414266,3,1747468615,1747557209,0,1544464080000,0,0,4242,0,1,1
2025-05-18 08:33:33,39763977,5025151012,3414266,3,1747468615,1747557209,0,1544534080000,0,0,4242,0,1,1
2025-05-18 08:33:34,39763977,5025151012,3414266,3,1747468615,1747557209,0,1544594080000,0,0,4242,0,1,1
2025-05-18 08:33:36,39763977,5025151012,3414266,3,1747468615,1747557209,0,1544624080000,0,0,4242,0,1,1
2025-05-18 08:33:37,39763977,5025151012,3414266,3,1747468615,1747557209,0,1544654080000,0,0,4242,0,1,1
2025-05-18 08:33:39,39763977,5025151012,3414266,3,1747468615,1747557209,0,1544704080000,0,0,4242,0,1,1
2025-05-18 08:33:40,38985683,5025151012,3414266,3,1747468615,1747557219,0,1544784080000,0,0,4242,0,1,1
2025-05-18 08:33:42,38985683,5025151012,3414266,3,1747468615,1747557219,0,1544844080000,0,0,4242,0,1,1
2025-05-18 08:33:43,38985683,5025151012,3414266,3,1747468615,1747557219,0,1544924080000,0,0,4242,0,1,1
2025-05-18 08:33:45,38985683,5025151012,3414266,3,1747468615,1747557219,0,1544974080000,0,0,4242,0,1,1
2025-05-18 08:33:46,38985683,5025151012,3414266,3,1747468615,1747557219,0,1545024080000,0,0,4242,0,1,1
2025-05-18 08:33:48,38985683,5025151012,3414266,3,1747468615,1747557219,0,1545094080000,0,0,4242,0,1,1
2025-05-18 08:33:49,39054842,5025151012,3414266,3,1747468615,1747557229,0,1545124080000,0,0,4242,0,1,1
2025-05-18 08:33:51,39054842,5025151012,3414266,3,1747468615,1747557229,0,1545144080000,0,0,4242,0,1,1
2025-05-18 08:33:52,39054842,5025151012,3414266,3,1747468615,1747557229,0,1545184080000,0,0,4242,0,1,1
2025-05-18 08:33:54,39054842,5025151012,3414266,3,1747468615,1747557229,0,1545334080000,0,0,4242,0,1,1
2025-05-18 08:33:55,39054842,5025151012,3414266,3,1747468615,1747557229,0,1545394080000,0,0,4242,0,1,1
2025-05-18 08:33:57,39054842,5025151012,3414266,3,1747468615,1747557229,0,1545454080000,0,0,4242,0,1,1
2025-05-18 08:33:58,39054842,5025151012,3414266,3,1747468615,1747557229,0,1545504080000,0,0,4242,0,1,1
2025-05-18 08:34:00,39448249,5025151012,3414266,3,1747468615,1747557239,0,1545584080000,0,0,4242,0,1,1
2025-05-18 08:34:01,39448249,5025151012,3414266,3,1747468615,1747557239,0,1545614080000,0,0,4242,0,1,1
2025-05-18 08:34:03,39448249,5025151012,3414266,3,1747468615,1747557239,0,1545634080000,0,0,4242,0,1,1
2025-05-18 08:34:04,39448249,5025151012,3414266,3,1747468615,1747557239,0,1545694080000,0,0,4242,0,1,1
2025-05-18 08:34:06,39448249,5025151012,3414266,3,1747468615,1747557239,0,1545774080000,0,0,4242,0,1,1
2025-05-18 08:34:07,39448249,5025151012,3414266,3,1747468615,1747557239,0,1545804080000,0,0,4242,0,1,1
2025-05-18 08:34:08,39448249,5025151012,3414266,3,1747468615,1747557239,0,1545904080000,0,0,4242,0,1,1
2025-05-18 08:34:10,39192139,5025151012,3414266,3,1747468615,1747557249,0,1545924080000,0,0,4242,0,1,1
2025-05-18 08:34:11,39192139,5025151012,3414266,3,1747468615,1747557249,0,1545954080000,0,0,4242,0,1,1
2025-05-18 08:34:13,39192139,5025151012,3414266,3,1747468615,1747557249,0,1546024080000,0,0,4242,0,1,1
2025-05-18 08:34:14,39192139,5025151012,3414266,3,1747468615,1747557249,0,1546084080000,0,0,4242,0,1,1
2025-05-18 08:34:16,39192139,5025151012,3414266,3,1747468615,1747557249,0,1546114080000,0,0,4242,0,1,1
2025-05-18 08:34:17,39192139,5025151012,3414266,3,1747468615,1747557249,0,1546234080000,0,0,4242,0,1,1
2025-05-18 08:34:19,39192139,5025151012,3414266,3,1747468615,1747557249,0,1546254080000,0,0,4242,0,1,1
2025-05-18 08:34:20,38807481,5025151012,3414266,3,1747468615,1747557259,0,1546294080000,0,0,4242,0,1,1
